slug,name,description,image,aspect
quran-gift-sets,Quran Gift Sets,Premium Quran collections and gift sets,/all-pic/AL-HADAYA/1---Quran-Gift-Set.png,portrait
prayer-essentials,Prayer Essentials,Prayer mats and essential items,/all-pic/AL-HADAYA/2---Prayer-Essentials.png,portrait
nikah-collection,Nikah Collection,Wedding gift collections and hampers,/all-pic/AL-HADAYA/Nikah_Return.png,portrait
ramadan-gifts,Ramadan Gifts,Special Ramadan gift collections,/all-pic/AL-HADAYA/Ramadan_Hamper.jpg,square
hajj-umrah,Hajj & Umrah,Hajj and Umrah travel sets and essentials,/all-pic/AL-HADAYA/Hajj_Umrah_medium.png,portrait
kids-gifts,Kids Gifts,Islamic gifts for children,/all-pic/AL-HADAYA/Kids_Gifts.png,portrait
resin-art,Resin Art,Handcrafted resin art Islamic pieces,/all-pic/AL-HADAYA/Resin_Art_Products.png,square
corporate-gifts,Corporate Gifts,Premium corporate gifting collections,/all-pic/AL-HADAYA/9---Corporate-Gifts.png,portrait
home-decor,Home Decor,Islamic home decoration items,/all-pic/AL-HADAYA/5---Home-Decor.png,square
return-favors,Return Favors,Hajj and event return favor sets,/all-pic/AL-HADAYA/6---Return-Favors.png,portrait
eid-gifts,Eid Gifts,Special Eid gift collections,/all-pic/AL-HADAYA/Tawakkul_Eid_Hamper.png,portrait
personalized-gifts,Personalised Gifts,Custom and personalized gift sets,/all-pic/AL-HADAYA/Personalized_Gift_medium.png,square
clothing,Clothing,Islamic modest fashion and clothing,/all-pic/AL-HADAYA/7---Clothing.png,portrait
on-trend,On Trend,Latest trending Islamic gifts,/all-pic/AL-HADAYA/8---On-Trend.png,portrait
international,International Gifts,International Islamic gift collections,/all-pic/AL-HADAYA/10---International.png,square
